SalePrice,SqFtTotLiving,Latitude,Longitude,SqFt2ndFloor,YrBuilt,SqFtFinBasement,SqFtDeck,SqFtGarageBasement,BrickStone,SqFtOpenPorch
400000,3180,47.3361183,-122.1963986,0,1965,1590,220,0,0,50
474250,2200,47.5098741,-122.3619131,0,1945,810,340,0,0,0
667950,2525,47.4375567,-122.1566841,1515,2019,0,0,0,0,167
659000,1820,47.5651462,-122.3702516,540,2016,620,100,0,0,0
656500,2310,47.7303893,-122.1841944,0,1967,0,320,0,0,40
675000,1970,47.6288292,-122.1157359,0,1965,640,150,530,0,0
415000,1750,47.7716141,-122.251946,0,1960,330,390,530,0,0
160000,1430,47.4897861,-122.2861955,0,1922,0,0,0,0,190
299000,1120,47.4666141,-122.281837,0,1944,0,0,0,0,0
1210000,1540,47.6250753,-122.307618,770,1900,0,0,0,0,110
705000,1550,47.6776218,-122.3582545,0,1921,0,0,0,0,0
337950,1730,47.2862944,-122.193943,0,1967,0,0,0,0,0
360000,1450,47.7621314,-122.3593023,0,1954,0,0,0,0,0
740000,2110,47.6029458,-122.2997481,1100,1903,0,0,0,0,90
584700,2190,47.4948363,-122.2974114,1340,2018,0,0,0,0,160
1000000,2220,47.7476982,-122.2836688,0,1952,940,0,0,0,0
1374990,4130,47.6770114,-122.2920511,1150,2016,1150,190,0,0,50
535000,1090,47.6891329,-122.3381033,0,1910,0,0,0,0,0
451050,1820,47.7629109,-122.3427982,0,1953,0,230,0,0,0
650000,1460,47.68933,-122.3103736,0,1927,0,0,300,0,0
642000,2190,47.7201882,-122.2265095,0,1963,770,220,520,0,0
650000,2500,47.5076596,-122.3690812,1120,2016,0,220,0,0,50
850000,1380,47.6671459,-122.2729987,0,1948,250,0,240,100,0
469950,1410,47.7222751,-122.1766422,0,1971,640,470,130,0,0
634000,1450,47.6978175,-122.3467322,480,2018,470,400,0,0,30
650000,1080,47.6130839,-122.2961829,360,2019,360,0,0,0,0
649950,1290,47.6841538,-122.3764414,430,2018,430,320,260,0,10
220000,730,47.5391529,-122.3853921,0,1918,0,140,0,0,0
625000,1170,47.6933319,-122.3214806,0,1928,400,260,0,0,0
250000,1320,47.4435798,-122.3289166,0,1944,0,0,0,0,0
430000,1710,47.4824913,-122.1579475,0,1969,0,0,0,0,220
630950,2487,47.4367421,-122.1555014,1462,2018,0,0,0,0,45
650000,2630,47.4443773,-122.3403618,0,1957,970,150,0,0,300
515000,2550,47.346533,-122.512997,740,1980,800,520,0,0,0
1699990,3310,47.6993824,-122.1619362,1810,2019,0,130,0,0,240
1022000,2410,47.5758207,-122.2332381,0,1963,550,0,570,0,460
225000,840,47.4894952,-122.205365,0,1948,0,0,0,0,0
950000,2470,47.6913957,-122.3266659,0,1973,820,0,530,0,200
250000,960,47.5128402,-122.3330341,0,1949,0,150,0,0,0
1050000,2330,47.6851313,-122.2929268,880,1943,0,470,0,0,0
552000,1750,47.7306887,-122.354039,0,1963,570,230,440,0,0
755000,1950,47.6893316,-122.3911488,720,1925,0,0,0,0,0
